x,y,z,r,curvature,torsion
79.0834,63.1021,43.2066,1.90585,0.216539,0.749439
79.2753,63.257,43.2125,1.85362,0.212753,0.822022
79.4587,63.4182,43.2112,1.90406,0.220071,0.821496
79.632,63.5859,43.2051,1.88856,0.238931,0.752626
79.7937,63.7605,43.1965,1.91933,0.268489,0.64843
79.942,63.942,43.1878,1.88134,0.307062,0.540357
80.0756,64.1309,43.1814,1.94978,0.352354,0.444162
80.1928,64.3272,43.1796,1.94267,0.401266,0.36345
80.2919,64.5314,43.1849,1.94997,0.449536,0.166274
80.3724,64.7433,43.1991,1.9494,0.384953,0.219314
80.4364,64.9624,43.2222,1.97077,0.317749,0.296463
80.4871,65.1879,43.2539,2.01187,0.25357,0.417368
80.5277,65.4188,43.2936,2.31829,0.19625,0.618587
80.5612,65.6543,43.3408,2.28886,0.149226,0.951555
80.5908,65.8936,43.3952,2.33156,0.117636,1.37387
80.6197,66.1358,43.4563,2.36071,0.108273,1.47222
80.6509,66.38,43.5235,2.22234,0.121666,1.0706
80.6876,66.6255,43.5965,2.33288,0.149225,0.658992
80.7329,66.8714,43.6748,2.00484,0.182884,-5.16E-01
80.789,67.1168,43.7581,2.03471,0.143228,-7.84E-01
80.8536,67.3614,43.8469,2.04062,0.112815,-1.19E+00
80.9236,67.6046,43.9415,2.0175,0.0969871,-1.55E+00
80.996,67.8461,44.0427,2.17238,0.100604,-1.41E+00
81.0675,68.0856,44.151,2.25973,0.121297,-9.64E-01
81.135,68.3224,44.267,2.03337,0.152474,-6.15E-01
81.1953,68.5564,44.3911,2.27816,0.189464,-4.05E-01
81.2454,68.7869,44.5241,2.25934,0.229601,-2.81E-01
81.282,69.0137,44.6664,2.0609,0.270776,-2.03E-01
81.302,69.2364,44.8186,2.03338,0.31057,-0.207194
81.303,69.4546,44.9808,2.1249,0.27969,-0.244274
81.2853,69.6687,45.1512,2.35354,0.25019,-0.288145
81.2499,69.8792,45.3278,2.05381,0.223514,-0.339508
81.1979,70.0867,45.5083,2.05098,0.200725,-0.397253
81.1304,70.2916,45.6904,2.06457,0.182673,-0.456581
81.0483,70.4945,45.8721,2.07815,0.170096,-0.507501
80.9527,70.6959,46.0511,2.04911,0.163588,-0.536513
80.8446,70.8962,46.2252,2.05627,0.163476,-0.533535
80.7252,71.0961,46.3922,2.09035,0.169683,-0.49938
80.5953,71.2959,46.55,2.0367,0.181744,1.07E-15
80.4561,71.4961,46.6968,2.04617,0.164665,-3.10E-17
80.3086,71.6968,46.8334,2.06729,0.146641,-1.50E-15
80.1535,71.8979,46.9608,2.09287,0.128104,-2.23E-15
79.9919,72.0993,47.0801,2.15451,0.109381,1.36E-15
79.8247,72.301,47.1926,2.21284,0.0906945,2.44E-15
79.6529,72.503,47.2994,2.20682,0.0721729,-1.86E-15
79.4773,72.7052,47.4016,2.25666,0.0538684,1.00E-14
79.2989,72.9076,47.5003,2.38787,0.0357747,3.75E-14
79.1187,73.11,47.5968,0,0.0178435,4.76E-14
78.94665,73.2242,47.6993,0,0,0
78.7746,73.3384,47.8018,2.35678,0.00890839,1.37E-12
78.6116,73.3643,47.9113,2.27638,0.0178067,-9.23E-14
78.4481,73.3903,48.0202,2.17295,0.0266842,-6.80E-15
78.2839,73.4165,48.1283,2.18283,0.0355283,-4.61E-14
78.1189,73.4429,48.2354,2.15102,0.0443243,7.70E-15
77.9528,73.4696,48.3411,2.12808,0.0530545,6.59E-15
77.7854,73.4966,48.4452,2.11567,0.0616975,-1.06E-14
77.6164,73.524,48.5474,2.10208,0.0702275,-2.20E-14
77.4458,73.5518,48.6475,2.05443,0.0786145,6.89E-15
77.2732,73.5802,48.7451,2.06798,0.0868233,1.28E+00
77.0986,73.6089,48.8403,2.0204,0.0564421,2.98601
76.9225,73.637,48.9338,2.02619,0.0483738,4.04259
76.7459,73.6635,49.0265,2.04569,0.0703342,1.92084
76.5693,73.6871,49.1196,2.00394,0.105277,0.869103
76.3935,73.7067,49.2139,2.00791,0.144665,0.469867
76.2194,73.7213,49.3104,2.05169,0.18626,0.290418
76.0476,73.7296,49.4102,2.04703,0.229119,0.19644
75.8789,73.7306,49.5141,2.02576,0.272342,0.141271
75.7141,73.7231,49.6233,2.0405,0.314682,0.105931
75.5539,73.7059,49.7387,2.05497,0.354403,5.24E-15
75.3988,73.6784,49.8609,2.07181,0.313852,-1.75E-16
75.2486,73.6413,49.9897,2.00048,0.273028,8.66E-17
75.1026,73.5956,50.1241,2.03241,0.233174,2.98E-15
74.9605,73.5423,50.2636,2.07056,0.194987,5.86E-16
74.8215,73.4826,50.4074,2.02807,0.158736,2.94E-15
74.6852,73.4175,50.5547,1.93764,0.12439,2.13E-15
74.5511,73.3481,50.705,1.93604,0.0917205,8.27E-15
74.4186,73.2756,50.8573,1.94304,0.0603816,8.81E-14
74.2872,73.2008,51.0112,0,0.0299582,-2.45E-13
73.9049,73.0064,51.2357,2.27045,0.00237082,5.29E-13
73.6538,72.8877,51.3057,2.218,0.00474564,1.69E-13
73.4029,72.7688,51.3757,2.17589,0.00712849,-8.81E-14
73.1525,72.6495,51.4457,2.05035,0.00952333,-3.29E-14
72.9027,72.5297,51.5157,2.03223,0.0119341,-4.47E-14
72.6537,72.4093,51.5858,2.01073,0.0143648,-1.87E-14
72.4056,72.2882,51.6559,2.07759,0.0168191,-1.63E-14
72.1585,72.1662,51.7261,2.06259,0.0193009,-2.00E-14
71.9126,72.0432,51.7963,2.07394,0.0218138,-1.38E-14
71.6682,71.9192,51.8666,2.1078,0.0243614,-1.50E+00
71.4251,71.7939,51.9368,2.12743,0.0243331,-1.53E+00
71.1835,71.6677,52.0061,2.18763,0.0299182,-1.03166
70.943,71.5404,52.0736,2.17452,0.0389497,-0.623487
